Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
97,VFIRE23,154.295,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
98,VFIRE24,154.2725,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
99,VFIRE25,154.2875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
100,VFIRE26,154.3025,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
101,VMED28,155.34,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
102,VMED29,155.3475,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
103,VLAW31,155.475,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
104,VLAW32,155.4825,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
105,UCALL40,453.2125,+,5,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
106,UCAL40D,453.2125,,0,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
107,UTAC41,453.4625,+,5,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
108,UTAC41D,453.4625,,0,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
109,UTAC42,453.7125,+,5,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
110,UTAC42D,453.7125,,0,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
111,UTAC43,453.8625,+,5,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
112,UTAC43D,453.8625,,0,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
113,GAIOP1,151.085,+,7.9,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
114,GAIOP1D,151.085,,0,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
115,GAIOP2,151.07,+,7.975,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
116,GAIOP2D,151.07,,0,Tone,156.7,88.5,23,NN,NFM,5,,,,,,
